,Ticker,Name,Last Sale,Net Change,Percent Change,Market Cap
186,ITW,Illinois Tool Works Inc. Common Stock,$239.24,-0.67,-0.279%,"70,216,940,000"
187,NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",$71.65,-1.35,-1.849%,"70,175,783,696"
188,NOC,Northrop Grumman Corporation Common Stock,$486.67,0.17,0.035%,"70,045,529,794"
189,ZTS,Zoetis Inc. Class A Common Stock,$155.65,-0.75,-0.48%,"69,698,811,881"
190,COF,Capital One Financial Corporation Common Stock,$180.22,-0.04,-0.022%,"68,722,877,734"
191,CP,Canadian Pacific Kansas City Limited Common Shares,$72.73,0.26,0.359%,"67,866,191,069"
192,NTES,"NetEase, Inc. American Depositary Shares",$106.77,-0.29,-0.271%,"67,606,580,783"
193,MAR,Marriott International Class A Common Stock,$243.95,5.37,2.251%,"67,255,867,947"
194,EQNR,Equinor ASA,$22.32,0.03,0.135%,"65,726,443,774"
195,WDAY,"Workday, Inc. Class A Common Stock",$246.61,1.61,0.657%,"65,598,260,000"
196,CRH,CRH PLC Ordinary Shares,$96.28,0.86,0.901%,"65,251,061,451"
197,EPD,Enterprise Products Partners L.P. Common Stock,$29.87,-0.03,-0.10%,"64,689,457,865"
198,DELL,Dell Technologies Inc. Class C Common Stock,$91.95,0.19,0.207%,"64,166,463,491"
199,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",$160.99,0.30,0.187%,"63,711,725,367"
200,REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",$590.00,-8.76,-1.463%,"63,699,643,230"
201,PYPL,"PayPal Holdings, Inc. Common Stock",$65.41,-0.43,-0.653%,"63,613,372,345"
202,USB,U.S. Bancorp Common Stock,$40.50,0.16,0.397%,"63,175,441,847"
203,MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$4.92,-0.13,-2.574%,"62,448,698,803"
204,AZO,"AutoZone, Inc. Common Stock","$3,732.92",-29.68,-0.789%,"62,446,738,288"
205,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$49.83,-0.15,-0.30%,"62,010,245,880"
206,DEO,Diageo plc Common Stock,$111.31,-0.71,-0.634%,"61,923,739,995"
207,EOG,"EOG Resources, Inc. Common Stock",$111.68,1.35,1.224%,"61,862,492,534"
208,CNQ,Canadian Natural Resources Limited Common Stock,$28.92,0.23,0.802%,"61,735,755,360"
209,ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$6.29,-0.02,-0.317%,"61,491,697,399"
210,ING,"ING Group, N.V. Common Stock",$19.29,-0.08,-0.413%,"60,713,175,727"
211,CARR,Carrier Global Corporation Common Stock,$69.80,7.26,11.609%,"60,610,125,160"
212,APD,"Air Products and Chemicals, Inc. Common Stock",$272.16,1.07,0.395%,"60,548,977,259"
213,CNI,Canadian National Railway Company Common Stock,$95.62,-1.20,-1.239%,"59,982,426,000"
214,HWM,Howmet Aerospace Inc. Common Stock,$148.03,9.45,6.819%,"59,955,483,488"
215,RCL,Royal Caribbean Cruises Ltd. Common Stock,$220.77,5.86,2.727%,"59,952,383,326"
216,EMR,Emerson Electric Company Common Stock,$105.81,0.70,0.666%,"59,666,259,000"
217,NU,Nu Holdings Ltd. Class A Ordinary Shares,$12.34,-0.09,-0.724%,"59,462,247,618"
218,CM,Canadian Imperial Bank of Commerce Common Stock,$63.07,0.12,0.191%,"59,435,585,511"
219,TRV,"The Travelers Companies, Inc. Common Stock",$261.45,-2.68,-1.015%,"59,236,409,100"
220,ADSK,"Autodesk, Inc. Common Stock",$273.49,-0.76,-0.277%,"58,800,350,000"
221,CPRT,"Copart, Inc. (DE) Common Stock",$60.50,-0.53,-0.868%,"58,448,623,838"
222,KMI,"Kinder Morgan, Inc. Common Stock",$26.30,UNCH,--,"58,440,408,020"
223,BK,The Bank of New York Mellon Corporation Common Stock,$80.91,0.50,0.622%,"57,957,503,953"
224,MNST,Monster Beverage Corporation,$59.52,-0.60,-0.998%,"57,922,417,490"
225,JCI,Johnson Controls International plc Ordinary Share,$87.25,3.35,3.993%,"57,636,840,547"
226,AEP,"American Electric Power Company, Inc. Common Stock",$107.54,-0.80,-0.738%,"57,308,895,671"
227,NEM,Newmont Corporation,$51.49,-1.19,-2.259%,"57,308,212,132"
228,LYG,Lloyds Banking Group Plc American Depositary Shares,$3.76,-0.19,-4.81%,"56,979,992,194"
229,ET,Energy Transfer LP Common Units,$16.53,-0.01,-0.06%,"56,717,983,355"
230,BCS,Barclays PLC Common Stock,$15.82,-0.24,-1.494%,"56,667,705,472"
231,AEM,Agnico Eagle Mines Limited Common Stock,$112.56,-5.02,-4.269%,"56,633,897,757"
232,AFL,AFLAC Incorporated Common Stock,$103.52,-5.16,-4.748%,"56,582,819,884"
233,COR,"Cencora, Inc. Common Stock",$290.43,-2.24,-0.765%,"56,319,338,125"
234,HLT,Hilton Worldwide Holdings Inc. Common Stock,$234.09,8.61,3.819%,"55,643,131,200"
235,SNOW,Snowflake Inc. Class A Common Stock,$165.36,5.87,3.68%,"55,246,776,000"
236,DLR,"Digital Realty Trust, Inc. Common Stock",$161.88,1.34,0.835%,"54,495,970,381"
237,CHTR,"Charter Communications, Inc. Class A Common Stock New",$383.00,-8.86,-2.261%,"53,759,498,941"
238,CVNA,Carvana Co. Class A Common Stock,$251.87,7.52,3.078%,"53,690,208,826"
239,AMX,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",$17.16,-0.08,-0.464%,"53,582,100,000"
240,PAYX,"Paychex, Inc. Common Stock",$146.61,-0.51,-0.347%,"52,807,553,835"
241,CSX,CSX Corporation Common Stock,$28.11,0.04,0.143%,"52,805,924,434"
