,Ticker,Share Issued,Total Assets,Net PPE,Accounts Receivable,Cash And Cash Equivalents,Total Debt,Accounts Payable,Stockholders Equity,Retained Earnings,Working Capital,Total Revenue,Operating Income,EBITDA,Net Income,Capital Expenditure,Free Cash Flow
174,MAG,103357295.0,611072000.0,82749000.0,,162347000.0,2242000.0,3477000.0,591333000.0,-51373000.0,160113000.0,0.0,-3790000.0,20864000.0,18978000.0,-168000.0,629000.0
175,SYTA,787733.0,14889205.0,740305.0,1077180.0,181730.0,4400464.0,5497957.0,3921271.0,-116021171.0,-4947281.0,1518150.0,-5573589.0,-8275308.0,-8923245.0,-862321.0,-1413569.0
176,CAAP,163222707.0,4181450000.0,87722000.0,174275000.0,439847000.0,1168788000.0,120763000.0,1369274000.0,718511000.0,161784000.0,473412000.0,99268000.0,378162000.0,37781000.0,-2853000.0,91492000.0
177,NEUP,1628659.0,18168220.0,152202.0,,4344578.0,199395.0,1530667.0,13747995.0,-180725207.0,2264934.0,662715.0,-3397278.0,-3231157.0,-1943349.0,,-3358087.0
178,VGZ,123164832.0,18974000.0,1402000.0,,16950000.0,,433000.0,17907000.0,-460154000.0,16457000.0,0.0,-1901000.0,-1886000.0,-1673000.0,-184000.0,-2111000.0
179,ACCO,98131339.0,2228400000.0,218500000.0,348900000.0,74100000.0,923000000.0,167300000.0,606100000.0,-687600000.0,241200000.0,448100000.0,52700000.0,62100000.0,20600000.0,-7300000.0,45400000.0
180,DOCN,92234517.0,1639015000.0,620421000.0,72486000.0,428446000.0,1695132000.0,54565000.0,-202955000.0,-258742000.0,320763000.0,204925000.0,32535000.0,60447000.0,18266000.0,-47145000.0,24194000.0
181,TBN,14536774.0,362919586.0,292695496.0,3565181.0,59442407.0,22677083.0,11242126.0,243879354.0,-150441291.0,29263617.0,0.0,-9064847.0,-9034107.0,-14166946.0,-33994476.0,-38742694.0
182,RWT,132519579.0,18258344000.0,14167000.0,115832000.0,245165000.0,16394900000.0,77791000.0,1187863000.0,1191401000.0,,35498000.0,,,-6618000.0,,-853984000.0
183,MHK,69900000.0,12778600000.0,4953900000.0,1674100000.0,666600000.0,2628300000.0,978500000.0,7551400000.0,7325100000.0,2824600000.0,2637200000.0,130000000.0,277800000.0,93200000.0,-160800000.0,236200000.0
184,LYEL,292161656.0,490859000.0,72939000.0,,105597000.0,58968000.0,5366000.0,382824000.0,-1345106000.0,325806000.0,11000.0,-62666000.0,-57640000.0,-191935000.0,-44000.0,-47286000.0
185,PFE,9592990035.0,213396000000.0,18393000000.0,11463000000.0,1043000000.0,63649000000.0,5633000000.0,88203000000.0,116725000000.0,7363000000.0,17764000000.0,3187000000.0,2520000000.0,410000000.0,-917000000.0,5804000000.0
186,SB,105299771.0,1403096000.0,1229522000.0,13346000.0,81083000.0,536641000.0,9903000.0,831618000.0,507336000.0,78919000.0,71492000.0,24640000.0,27215000.0,19361000.0,,-14418000.0
187,KRT,20021105.0,294522000.0,128610000.0,26736000.0,31584000.0,92870000.0,17831000.0,155569000.0,66340000.0,114550000.0,101649000.0,7554000.0,13676000.0,5615000.0,-760000.0,7490000.0
188,NU,4818658640.0,49931214000.0,46223000.0,12259276000.0,13637271000.0,577951000.0,9333541000.0,7646289000.0,3420596000.0,,2110169000.0,,,552640000.0,-95613000.0,1274484000.0
189,BB,596231000.0,1295600000.0,35400000.0,173700000.0,266700000.0,239000000.0,31100000.0,719900000.0,-2237300000.0,247200000.0,143900000.0,2100000.0,9200000.0,-7000000.0,-1100000.0,40400000.0
190,DASH,419677000.0,12845000000.0,1167000000.0,732000000.0,4019000000.0,536000000.0,321000000.0,7803000000.0,-5255000000.0,2948000000.0,2873000000.0,117000000.0,258000000.0,141000000.0,-98000000.0,420000000.0
191,GIS,754613328.0,32706200000.0,3460500000.0,1791000000.0,521300000.0,14187300000.0,3692300000.0,9263200000.0,21636000000.0,-2620200000.0,4842200000.0,794700000.0,929000000.0,625600000.0,-103900000.0,428000000.0
192,ADN,2636508.0,7329000.0,5589000.0,274000.0,192000.0,270000.0,16420000.0,-18074000.0,-218310000.0,-23720000.0,128000.0,-7927000.0,-7885000.0,-18522000.0,,7898000.0
193,DCO,14781218.0,1126101000.0,138423000.0,109716000.0,37139000.0,272145000.0,75784000.0,682530000.0,453475000.0,392607000.0,197292000.0,12295000.0,18708000.0,6774000.0,-3849000.0,14575000.0
194,JRVR,45644318.0,5007076000.0,19773000.0,2342005000.0,362345000.0,304855000.0,132922000.0,594030000.0,-402408000.0,,126713000.0,,,-64767000.0,-2733000.0,4732000.0
195,SLG,71016448.0,11410623000.0,860449000.0,313056000.0,180133000.0,4775304000.0,123256000.0,3836457000.0,-537585000.0,1463724000.0,239846000.0,49013000.0,105324000.0,-15183000.0,,6710000.0
196,WLDN,14169000.0,464863000.0,43569000.0,65557000.0,74158000.0,107747000.0,33766000.0,234343000.0,37147000.0,97847000.0,144061000.0,10870000.0,15512000.0,7688000.0,-2339000.0,31123000.0
197,MRSN,115649928.0,144663000.0,6781000.0,,107750000.0,28598000.0,4330000.0,-9509000.0,-895553000.0,74446000.0,16361000.0,-14811000.0,-12814000.0,-14117000.0,,-19251000.0
